Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
t_019,"Prosellodrilus praticola Bouché, 1972","Prosellodrilus (Prosellodrilus) praticola Bouché, 1972","Prosellodrilus praticola (Bouche, 1972)","Prosellodrilus praticolus Bouché, 1972",Prosellodrilus praticola,Lumbricidae,Prosellodrilus,praticola,NA,"Prosellodrilus praticola Bouché, 1972",Prprat,"Name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023.",Prosellodrilus praticola,Lumbricidae,Prosellodrilus,praticola,NA,Prprat,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 and 2019-2023 data.
t_020,"Prosellodrilus pyrenaicus (Cognetti, 1904)","Prosellodrilus (Pyrenodrilus) pyrenaicus pyrenaicus (Cognetti, 1904)","Prosellodrilus pyrenaicus pyrenaicus (Michaelsen, 1925)","Pyrenodrilus pyrenaicus pyrenaicus (Cognetti, 1904)",Prosellodrilus pyrenaicus pyrenaicus,Lumbricidae,Prosellodrilus,pyrenaicus,pyrenaicus,"Prosellodrilus pyrenaicus pyrenaicus (Cognetti, 1904)",Prpyrepyre,"Subgenus (later elevated by Blackemore, 2008) Pyrenodrilus actually not valid (Jiménez Pinadero et al., in prep), name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023 but with Prosellodrilus genus instead.",Prosellodrilus pyrenaicus pyrenaicus,Lumbricidae,Prosellodrilus,pyrenaicus,pyrenaicus,Prpyrepyre,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 and 2019-2023 data.
t_021,"Prosellodrilus fragilis fragilis Bouché, 1972","Prosellodrilus (Pyrenodrilus) fragilis fragilis Bouché, 1972","Prosellodrilus fragilis (Bouche, 1972)","Pyrenodrilus fragilis Bouché, 1972",Prosellodrilus fragilis,Lumbricidae,Prosellodrilus,fragilis,NA,"Prosellodrilus fragilis Bouché, 1972",Prfrag,"Subgenus (later elevated by Blackemore, 2008) Pyrenodrilus actually not valid (Jiménez Pinadero et al., in prep), name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023 but with Prosellodrilus genus instead.",Prosellodrilus fragilis,Lumbricidae,Prosellodrilus,fragilis,NA,Prfrag,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 and 2019-2023 data.
t_022,"Prosellodrilus fragilis polythecosus Bouché, 1972","Prosellodrilus (Pyrenodrilus) polythecosus Bouché, 1972","Prosellodrilus polythecosus (Bouche, 1972)","Pyrenodrilus polythecosus Bouché, 1972",Prosellodrilus polythecosus,Lumbricidae,Prosellodrilus,polythecosus,NA,"Prosellodrilus polythecosus Bouché, 1972",Prpoly,"Subgenus (later elevated by Blackemore, 2008) Pyrenodrilus actually not valid (Jiménez Pinadero et al., in prep), name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023 but with Prosellodrilus genus instead.",Prosellodrilus polythecosus,Lumbricidae,Prosellodrilus,polythecosus,NA,Prpoly,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 and 2019-2023 data.
t_023,"Prosellodrilus fragilis elusatus Bouché, 1972","Prosellodrilus (Prosellodrilus) elusatus Bouché, 1972","Prosellodrilus elusatus (Bouche, 1972)","Prosellodrilus elusatus Bouché, 1972",Prosellodrilus elusatus,Lumbricidae,Prosellodrilus,elusatus,NA,"Prosellodrilus elusatus Bouché, 1972",Prelus,"Name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023.",Prosellodrilus elusatus,Lumbricidae,Prosellodrilus,elusatus,NA,Prelus,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 data.
t_024,"Prosellodrilus fragilis biserialis Bouché, 1972","Prosellodrilus (Prosellodrilus) biserialis Bouché, 1972","Prosellodrilus biserialis (Bouche, 1972)","Prosellodrilus biserialis Bouché, 1972",Prosellodrilus biserialis,Lumbricidae,Prosellodrilus,biserialis,NA,"Prosellodrilus biserialis Bouché, 1972",Prbise,"Name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023.",Prosellodrilus biserialis,Lumbricidae,Prosellodrilus,biserialis,NA,Prbise,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 and 2019-2023 data.
t_025,"Prosellodrilus biauriculatus Bouché, 1972","Prosellodrilus (Pyrenodrilus) biauriculatus Bouché, 1972","Prosellodrilus biauriculatus (Bouche, 1972)","Pyrenodrilus biauriculatus Bouché, 1972",Prosellodrilus biauriculatus,Lumbricidae,Prosellodrilus,biauriculatus,NA,"Prosellodrilus biauriculatus Bouché, 1972",Prbiau,"Subgenus (later elevated by Blackemore, 2008) Pyrenodrilus actually not valid (Jiménez Pinadero et al., in prep), name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023 but with Prosellodrilus genus instead.",Prosellodrilus biauriculatus,Lumbricidae,Prosellodrilus,biauriculatus,NA,Prbiau,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 data.
t_026,"Prosellodrilus alatus Bouché, 1972","Prosellodrilus (Pyrenodrilus) alatus Bouché, 1972","Prosellodrilus alatus (Bouche, 1972)","Pyrenodrilus alatus Bouché, 1972",Prosellodrilus alatus,Lumbricidae,Prosellodrilus,alatus,NA,"Prosellodrilus alatus Bouché, 1972",Pralat,"Subgenus (later elevated by Blackemore, 2008) Pyrenodrilus actually not valid (Jiménez Pinadero et al., in prep), name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023 but with Prosellodrilus genus instead.",Prosellodrilus alatus,Lumbricidae,Prosellodrilus,alatus,NA,Pralat,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 and 2019-2023 data.
t_027,"Prosellodrilus amplisetosus amplisetosus Bouché, 1972","Prosellodrilus (Kenleenus) amplisetosus amplisetosus Bouché, 1972","Prosellodrilus amplisetosus amplisetosus (Bouche, 1972)","Kenleenus amplisetosus amplisetosus Bouché, 1972",Prosellodrilus amplisetosus amplisetosus,Lumbricidae,Prosellodrilus,amplisetosus,amplisetosus,"Prosellodrilus amplisetosus amplisetosus Bouché, 1972",Pramplampl,"Subgenus (later elevated by Blackemore, 2008) Kenleenus actually not valid (Jiménez Pinadero et al., in prep), name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023 but with Prosellodrilus genus instead.",Prosellodrilus amplisetosus amplisetosus,Lumbricidae,Prosellodrilus,amplisetosus,amplisetosus,Pramplampl,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 and 2019-2023 data.
t_028,"Prosellodrilus amplisetosus hexathecosus Bouché, 1972","Prosellodrilus (Kenleenus) amplisetosus hexathecosus Bouché, 1972","Prosellodrilus amplisetosus hexathecosus (Bouche, 1972)","Kenleenus amplisetosus hexathecosus Bouché, 1972",Prosellodrilus amplisetosus hexathecosus,Lumbricidae,Prosellodrilus,amplisetosus,hexathecosus,"Prosellodrilus amplisetosus hexathecosus Bouché, 1972",Pramplhexa,"Subgenus (later elevated by Blackemore, 2008) Kenleenus actually not valid (Jiménez Pinadero et al., in prep), name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023 but with Prosellodrilus genus instead.",Prosellodrilus amplisetosus hexathecosus,Lumbricidae,Prosellodrilus,amplisetosus,hexathecosus,Pramplhexa,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 data.
